,fn,target
80,000160.jpg,"(array([241,   1, 372, 335]), 18)"
81,000166.jpg,"(array([162,  47, 333, 228]), 13)"
82,000167.jpg,"(array([ 17,  26, 373, 477]), 12)"
83,000168.jpg,"(array([122, 103, 470, 200]), 13)"
84,000172.jpg,"(array([ 53,  28, 320, 455]), 7)"
85,000175.jpg,"(array([ 33,  24, 270, 418]), 17)"
86,000176.jpg,"(array([134,  40, 287, 147]), 17)"
87,000178.jpg,"(array([  3, 379, 209, 499]), 15)"
88,000179.jpg,"(array([ 28,  84, 492, 300]), 4)"
89,000181.jpg,"(array([148,   0, 374, 297]), 18)"
90,000182.jpg,"(array([  3,   4, 372, 499]), 18)"
91,000183.jpg,"(array([  1,  76, 337, 499]), 12)"
92,000185.jpg,"(array([238, 238, 377, 337]), 15)"
93,000186.jpg,"(array([ 48,  57, 361, 283]), 3)"
94,000188.jpg,"(array([ 87,  88, 199, 499]), 6)"
95,000191.jpg,"(array([180,  28, 498, 146]), 15)"
96,000195.jpg,"(array([ 14,   5, 372, 481]), 6)"
97,000196.jpg,"(array([160,  74, 297, 169]), 9)"
98,000197.jpg,"(array([ 55,  34, 258, 465]), 7)"
99,000199.jpg,"(array([ 67,  81, 269, 382]), 3)"
100,000201.jpg,"(array([134, 255, 313, 377]), 14)"
101,000202.jpg,"(array([  7,   0, 374, 334]), 15)"
102,000204.jpg,"(array([ 65, 210, 173, 326]), 20)"
103,000205.jpg,"(array([198,   0, 456, 373]), 18)"
104,000206.jpg,"(array([348,  88, 499, 188]), 15)"
105,000212.jpg,"(array([ 81,   1, 331, 197]), 15)"
106,000213.jpg,"(array([ 68,  99, 293, 311]), 8)"
107,000216.jpg,"(array([169, 233, 223, 283]), 1)"
108,000217.jpg,"(array([183, 132, 332, 408]), 11)"
109,000223.jpg,"(array([ 84, 155, 289, 340]), 19)"
110,000226.jpg,"(array([241, 110, 374, 376]), 11)"
111,000227.jpg,"(array([122, 219, 353, 472]), 8)"
112,000230.jpg,"(array([166, 161, 356, 396]), 2)"
113,000231.jpg,"(array([109,  86, 205, 277]), 6)"
114,000234.jpg,"(array([ 91, 306, 325, 471]), 9)"
115,000237.jpg,"(array([ 46,  54, 331, 386]), 13)"
116,000238.jpg,"(array([  0,   0, 372, 292]), 19)"
117,000239.jpg,"(array([ 25,  62, 218, 467]), 6)"
118,000240.jpg,"(array([174, 262, 233, 437]), 7)"
119,000243.jpg,"(array([126, 180, 192, 273]), 1)"
120,000247.jpg,"(array([ 50, 113, 373, 272]), 15)"
121,000248.jpg,"(array([ 89, 103, 272, 312]), 13)"
122,000252.jpg,"(array([ 53, 146, 223, 282]), 6)"
123,000253.jpg,"(array([ 54, 107, 227, 349]), 19)"
124,000254.jpg,"(array([238, 196, 332, 474]), 7)"
125,000255.jpg,"(array([  1,   1, 331, 418]), 12)"
126,000258.jpg,"(array([ 26, 349, 332, 499]), 15)"
127,000260.jpg,"(array([ 49,  54, 234, 455]), 1)"
128,000261.jpg,"(array([ 75,   0, 325, 404]), 2)"
129,000264.jpg,"(array([ 81,   1, 499, 332]), 14)"
130,000265.jpg,"(array([  7, 166, 143, 362]), 20)"
131,000267.jpg,"(array([ 85,  79, 499, 331]), 13)"
132,000271.jpg,"(array([181, 413, 236, 483]), 7)"
133,000272.jpg,"(array([ 70,  24, 499, 303]), 15)"
134,000273.jpg,"(array([148, 234, 183, 303]), 10)"
135,000274.jpg,"(array([ 99,  48, 302, 406]), 3)"
136,000277.jpg,"(array([103,  13, 320, 478]), 18)"
137,000279.jpg,"(array([185,  74, 364, 212]), 15)"
138,000280.jpg,"(array([152, 244, 374, 499]), 11)"
139,000281.jpg,"(array([ 92,  46, 253, 435]), 19)"
140,000283.jpg,"(array([109, 332, 420, 455]), 15)"
141,000284.jpg,"(array([ 77, 200, 255, 439]), 7)"
142,000286.jpg,"(array([ 10, 188, 374, 499]), 15)"
143,000287.jpg,"(array([  0,   6, 373, 302]), 15)"
144,000290.jpg,"(array([100,  87, 499, 332]), 12)"
145,000291.jpg,"(array([131,   0, 307, 182]), 20)"
146,000292.jpg,"(array([  0,  93, 373, 441]), 8)"
147,000293.jpg,"(array([  1,   0, 317, 455]), 7)"
148,000295.jpg,"(array([194, 361, 245, 403]), 4)"
149,000297.jpg,"(array([119, 102, 394, 248]), 10)"
150,000299.jpg,"(array([117, 159, 336, 289]), 15)"
151,000300.jpg,"(array([191,  36, 446, 336]), 7)"
152,000301.jpg,"(array([294,   7, 486, 374]), 7)"
153,000309.jpg,"(array([169, 104, 297, 324]), 3)"
154,000310.jpg,"(array([102, 166, 374, 276]), 15)"
155,000313.jpg,"(array([202, 421, 246, 492]), 7)"
156,000314.jpg,"(array([170, 354, 329, 499]), 18)"
157,000315.jpg,"(array([194,  50, 499, 323]), 15)"
158,000316.jpg,"(array([178, 336, 210, 403]), 1)"
159,000319.jpg,"(array([ 79,  30, 290, 311]), 13)"
160,000324.jpg,"(array([103,  32, 245, 357]), 12)"
161,000326.jpg,"(array([ 97, 188, 235, 294]), 3)"
162,000327.jpg,"(array([ 88,   0, 374, 499]), 11)"
163,000330.jpg,"(array([ 52,  81, 332, 387]), 13)"
164,000333.jpg,"(array([ 38,   0, 269, 366]), 19)"
165,000335.jpg,"(array([ 79,   3, 373, 360]), 5)"
166,000339.jpg,"(array([109,   1, 371, 213]), 15)"
167,000341.jpg,"(array([203,   0, 336, 101]), 7)"
168,000342.jpg,"(array([ 96,   1, 340, 426]), 20)"
169,000345.jpg,"(array([118, 248, 279, 498]), 10)"
170,000346.jpg,"(array([ 77, 136, 374, 496]), 15)"
171,000348.jpg,"(array([143, 100, 305, 381]), 14)"
172,000350.jpg,"(array([144, 166, 188, 246]), 4)"
173,000351.jpg,"(array([ 27,   0, 155, 329]), 7)"
174,000353.jpg,"(array([ 28,  78, 355, 440]), 14)"
175,000356.jpg,"(array([115,  85, 321, 250]), 15)"
176,000357.jpg,"(array([  0,  28, 355, 499]), 3)"
177,000358.jpg,"(array([ 99,  88, 283, 386]), 7)"
178,000360.jpg,"(array([ 41,  63, 374, 499]), 10)"
179,000361.jpg,"(array([187, 216, 233, 285]), 7)"
180,000362.jpg,"(array([ 25, 162, 266, 286]), 12)"
181,000364.jpg,"(array([ 24,  53, 314, 453]), 14)"
182,000365.jpg,"(array([135, 111, 377, 343]), 8)"
183,000366.jpg,"(array([173,  78, 485, 265]), 11)"
184,000368.jpg,"(array([ 20,  49, 481, 271]), 15)"
185,000369.jpg,"(array([ 90, 230, 374, 499]), 15)"
186,000371.jpg,"(array([178, 247, 247, 405]), 4)"
187,000375.jpg,"(array([  0,   2, 339, 488]), 4)"
188,000376.jpg,"(array([149, 228, 174, 264]), 17)"
189,000377.jpg,"(array([249,   0, 374, 382]), 11)"
190,000378.jpg,"(array([ 66,  45, 317, 207]), 13)"
191,000383.jpg,"(array([ 45,  63, 373, 397]), 3)"
192,000384.jpg,"(array([ 26, 173, 291, 453]), 18)"
193,000385.jpg,"(array([193, 153, 371, 280]), 9)"
194,000386.jpg,"(array([129,  67, 374, 177]), 15)"
195,000388.jpg,"(array([  5, 137, 499, 328]), 15)"
196,000389.jpg,"(array([255,   6, 433, 193]), 16)"
197,000390.jpg,"(array([ 63,   7, 400, 491]), 7)"
198,000392.jpg,"(array([ 95,  99, 323, 354]), 13)"
199,000393.jpg,"(array([105, 156, 293, 425]), 13)"
200,000397.jpg,"(array([430,   2, 499,  96]), 9)"
201,000398.jpg,"(array([  0,  77, 416, 395]), 19)"
202,000399.jpg,"(array([ 14,  22, 295, 478]), 2)"
203,000401.jpg,"(array([155, 214, 374, 484]), 8)"
204,000402.jpg,"(array([183,  11, 323, 392]), 7)"
205,000405.jpg,"(array([ 38,  15, 478, 311]), 15)"
206,000409.jpg,"(array([ 18,  43, 289, 331]), 15)"
207,000410.jpg,"(array([227, 130, 314, 250]), 13)"
208,000412.jpg,"(array([ 99,  56, 315, 394]), 13)"
209,000413.jpg,"(array([  5, 158, 363, 442]), 13)"
210,000414.jpg,"(array([ 55,  57, 233, 241]), 20)"
211,000415.jpg,"(array([104,  11, 278, 489]), 7)"
212,000418.jpg,"(array([ 39,   1, 373, 457]), 1)"
213,000421.jpg,"(array([ 17, 291, 374, 499]), 15)"
214,000422.jpg,"(array([ 15,   9, 445, 499]), 12)"
215,000423.jpg,"(array([ 91, 366, 314, 460]), 15)"
216,000425.jpg,"(array([  2,   0, 332, 499]), 7)"
217,000426.jpg,"(array([176, 164, 257, 273]), 3)"
218,000429.jpg,"(array([248,   1, 374,  60]), 15)"
219,000432.jpg,"(array([202, 315, 238, 375]), 10)"
220,000434.jpg,"(array([ 72,  94, 262, 424]), 13)"
221,000436.jpg,"(array([118,  35, 262, 350]), 3)"
222,000437.jpg,"(array([ 95, 323, 230, 379]), 15)"
223,000440.jpg,"(array([ 81,  36, 304, 458]), 7)"
224,000441.jpg,"(array([102, 160, 247, 314]), 19)"
225,000442.jpg,"(array([  1,  34, 374, 499]), 8)"
226,000444.jpg,"(array([  1,   1, 324, 331]), 4)"
227,000445.jpg,"(array([ 85, 265, 251, 474]), 13)"
228,000447.jpg,"(array([ 41,  34, 183, 278]), 15)"
229,000449.jpg,"(array([  0,   0, 297, 499]), 4)"
230,000451.jpg,"(array([ 14,   6, 329, 461]), 17)"
231,000452.jpg,"(array([120,  49, 337, 294]), 18)"
232,000453.jpg,"(array([120,   8, 293, 482]), 7)"
233,000455.jpg,"(array([ 78, 124, 305, 499]), 13)"
234,000456.jpg,"(array([ 42,  91, 302, 424]), 6)"
235,000457.jpg,"(array([ 98,   0, 499, 303]), 15)"
236,000458.jpg,"(array([ 38, 200, 336, 387]), 15)"
237,000465.jpg,"(array([133,   0, 315, 499]), 7)"
238,000466.jpg,"(array([103, 240, 257, 343]), 3)"
239,000467.jpg,"(array([ 83,  88, 232, 176]), 15)"
240,000471.jpg,"(array([ 70,  39, 320, 462]), 7)"
241,000472.jpg,"(array([ 48,   0, 374, 444]), 3)"
242,000473.jpg,"(array([119, 414, 152, 459]), 1)"
243,000475.jpg,"(array([152, 212, 258, 342]), 17)"
244,000478.jpg,"(array([ 95, 179, 242, 453]), 12)"
245,000479.jpg,"(array([  1,  33, 499, 373]), 15)"
246,000481.jpg,"(array([139,  11, 297, 321]), 4)"
247,000485.jpg,"(array([111,   9, 332, 474]), 15)"
248,000487.jpg,"(array([252,  34, 375, 181]), 9)"
249,000488.jpg,"(array([101,  33, 314, 479]), 7)"
250,000490.jpg,"(array([120, 244, 332, 499]), 15)"
251,000493.jpg,"(array([ 24, 346, 340, 471]), 15)"
252,000495.jpg,"(array([ 15, 103, 265, 399]), 3)"
253,000497.jpg,"(array([202,   5, 471, 417]), 14)"
254,000502.jpg,"(array([  0,   0, 356, 499]), 15)"
255,000504.jpg,"(array([101, 340, 405, 499]), 10)"
256,000505.jpg,"(array([157, 157, 286, 385]), 7)"
257,000506.jpg,"(array([  3,  47, 499, 324]), 15)"
258,000507.jpg,"(array([134,   0, 374, 499]), 7)"
259,000510.jpg,"(array([267, 108, 374, 321]), 11)"
260,000511.jpg,"(array([142, 108, 224, 283]), 19)"
261,000512.jpg,"(array([ 78,  19, 356, 422]), 6)"
262,000517.jpg,"(array([ 37, 195, 373, 357]), 15)"
263,000521.jpg,"(array([124, 246, 249, 326]), 1)"
264,000527.jpg,"(array([207, 144, 292, 258]), 2)"
265,000529.jpg,"(array([142, 289, 249, 499]), 4)"
266,000532.jpg,"(array([ 91, 184, 315, 356]), 15)"
267,000533.jpg,"(array([  1,   2, 151, 499]), 18)"
268,000534.jpg,"(array([ 14,   2, 499, 462]), 15)"
269,000536.jpg,"(array([ 89,  10, 329, 480]), 6)"
270,000538.jpg,"(array([127,  70, 273, 115]), 15)"
271,000539.jpg,"(array([102,  23, 374, 346]), 15)"
272,000542.jpg,"(array([  0,   0, 360, 496]), 8)"
273,000546.jpg,"(array([137,   0, 371, 289]), 12)"
274,000547.jpg,"(array([294,   0, 467,  48]), 11)"
275,000548.jpg,"(array([176,  15, 318, 453]), 7)"
276,000551.jpg,"(array([183,   1, 377, 311]), 12)"
277,000553.jpg,"(array([ 50,  39, 348, 427]), 14)"
278,000556.jpg,"(array([100,  74, 301, 357]), 19)"
279,000557.jpg,"(array([137,  50, 212, 166]), 3)"
280,000558.jpg,"(array([113, 170, 208, 234]), 4)"
281,000560.jpg,"(array([327,  55, 389, 203]), 1)"
282,000561.jpg,"(array([ 26,  36, 411, 176]), 3)"
283,000562.jpg,"(array([130, 193, 290, 272]), 15)"
284,000566.jpg,"(array([ 28,  15, 332, 314]), 15)"
285,000567.jpg,"(array([ 62, 143, 361, 311]), 15)"
286,000568.jpg,"(array([ 52,  94, 261, 379]), 3)"
287,000569.jpg,"(array([ 33,  39, 347, 411]), 3)"
288,000570.jpg,"(array([107, 140, 329, 469]), 14)"
289,000571.jpg,"(array([284, 221, 397, 344]), 20)"
290,000572.jpg,"(array([177,   0, 330, 234]), 2)"
291,000573.jpg,"(array([ 68,   4, 219, 136]), 9)"
292,000574.jpg,"(array([207, 159, 354, 353]), 17)"
293,000575.jpg,"(array([ 96,  19, 282, 270]), 18)"
294,000576.jpg,"(array([105, 252, 311, 470]), 4)"
295,000578.jpg,"(array([  1,   2, 499, 316]), 15)"
296,000580.jpg,"(array([144, 269, 218, 390]), 7)"
297,000584.jpg,"(array([ 73,  30, 345, 368]), 2)"
298,000585.jpg,"(array([ 10,   1, 331, 493]), 7)"
299,000586.jpg,"(array([340, 165, 443, 291]), 7)"
300,000587.jpg,"(array([150,  22, 374, 211]), 15)"
301,000593.jpg,"(array([ 73,  77, 257, 381]), 7)"
302,000594.jpg,"(array([123,   1, 320, 430]), 2)"
303,000595.jpg,"(array([165, 142, 374, 482]), 11)"
304,000596.jpg,"(array([287,  70, 314, 110]), 17)"
305,000600.jpg,"(array([ 10,   0, 321, 449]), 1)"
306,000602.jpg,"(array([104, 269, 332, 499]), 15)"
307,000603.jpg,"(array([150,  46, 340, 416]), 18)"
308,000604.jpg,"(array([227,  24, 448, 275]), 13)"
309,000606.jpg,"(array([215, 143, 374, 499]), 11)"
310,000607.jpg,"(array([147, 235, 304, 453]), 7)"
311,000611.jpg,"(array([  1, 208, 290, 499]), 12)"
312,000614.jpg,"(array([ 99, 135, 310, 456]), 2)"
313,000615.jpg,"(array([124,   1, 290, 281]), 18)"
314,000616.jpg,"(array([ 98,  52, 407, 325]), 13)"
315,000617.jpg,"(array([ 84,  10, 374, 499]), 11)"
316,000618.jpg,"(array([ 34, 123, 290, 488]), 1)"
317,000621.jpg,"(array([ 49, 145, 358, 244]), 15)"
318,000623.jpg,"(array([ 50, 112, 200, 220]), 13)"
319,000624.jpg,"(array([ 52,  60, 314, 499]), 7)"
320,000627.jpg,"(array([106,  55, 305, 316]), 17)"
321,000629.jpg,"(array([ 83,  33, 183, 499]), 19)"
322,000630.jpg,"(array([161, 186, 374, 482]), 14)"
323,000631.jpg,"(array([ 30, 197, 339, 419]), 4)"
324,000634.jpg,"(array([154, 230, 226, 412]), 7)"
325,000636.jpg,"(array([ 95,  78, 299, 391]), 19)"
326,000638.jpg,"(array([ 23,   0, 322, 354]), 8)"
327,000639.jpg,"(array([ 91,   5, 499, 329]), 15)"
328,000640.jpg,"(array([ 53,   0, 374, 485]), 2)"
329,000641.jpg,"(array([ 29,  33, 374, 405]), 9)"
330,000642.jpg,"(array([ 12,  67, 374, 442]), 15)"
331,000643.jpg,"(array([111, 160, 374, 250]), 15)"
332,000644.jpg,"(array([ 77, 181, 245, 368]), 20)"
333,000646.jpg,"(array([ 37,  57, 369, 448]), 7)"
334,000649.jpg,"(array([199,  15, 338, 252]), 7)"
335,000650.jpg,"(array([  1, 102, 374, 415]), 16)"
336,000651.jpg,"(array([  3,  86, 372, 495]), 8)"
337,000652.jpg,"(array([ 17, 124, 374, 391]), 15)"
338,000655.jpg,"(array([119,  99, 314, 425]), 14)"
339,000658.jpg,"(array([246, 222, 374, 499]), 18)"
340,000659.jpg,"(array([  0,   0, 374, 499]), 9)"
341,000662.jpg,"(array([ 22,  45, 241, 477]), 18)"
342,000664.jpg,"(array([  1,  50, 374, 324]), 15)"
343,000665.jpg,"(array([175, 137, 260, 380]), 1)"
344,000666.jpg,"(array([113,  57, 314, 305]), 13)"
345,000668.jpg,"(array([106,  14, 261, 455]), 1)"
346,000669.jpg,"(array([201, 408, 332, 499]), 7)"
347,000670.jpg,"(array([ 45, 188, 374, 499]), 15)"
348,000673.jpg,"(array([  0,   0, 332, 484]), 8)"
349,000674.jpg,"(array([  1,   0, 374, 247]), 19)"
350,000678.jpg,"(array([150,  21, 219, 271]), 19)"
351,000679.jpg,"(array([116, 101, 279, 457]), 7)"
352,000681.jpg,"(array([129, 126, 226, 245]), 3)"
353,000683.jpg,"(array([ 43,   4, 331, 498]), 18)"
354,000687.jpg,"(array([ 65,  26, 307, 480]), 7)"
355,000691.jpg,"(array([ 78, 222, 283, 466]), 9)"
356,000692.jpg,"(array([  1,   0, 333, 496]), 9)"
357,000693.jpg,"(array([180, 291, 287, 498]), 7)"
358,000696.jpg,"(array([ 89, 102, 213, 429]), 1)"
359,000697.jpg,"(array([139, 134, 306, 228]), 15)"
360,000698.jpg,"(array([ 68, 145, 368, 227]), 16)"
361,000701.jpg,"(array([ 42, 131, 294, 498]), 15)"
362,000703.jpg,"(array([182,   0, 442, 289]), 19)"
363,000704.jpg,"(array([ 89,  91, 342, 336]), 13)"
364,000706.jpg,"(array([160, 117, 212, 179]), 1)"
365,000708.jpg,"(array([182, 350, 368, 489]), 3)"
366,000715.jpg,"(array([ 95,  27, 354, 461]), 7)"
367,000716.jpg,"(array([ 55,  95, 444, 314]), 12)"
368,000718.jpg,"(array([ 24, 147, 373, 357]), 12)"
369,000719.jpg,"(array([ 90,  21, 267, 195]), 6)"
370,000721.jpg,"(array([138,  94, 272, 433]), 7)"
371,000722.jpg,"(array([ 87, 188, 265, 365]), 12)"
372,000723.jpg,"(array([128,  94, 261, 457]), 6)"
373,000724.jpg,"(array([ 70,  61, 327, 499]), 7)"
374,000725.jpg,"(array([161,  67, 214, 114]), 10)"
375,000727.jpg,"(array([322,  88, 435, 272]), 6)"
376,000732.jpg,"(array([231,  51, 449, 333]), 19)"
377,000734.jpg,"(array([ 88, 274, 255, 340]), 15)"
378,000735.jpg,"(array([ 23,  26, 289, 499]), 19)"
379,000736.jpg,"(array([ 46,   2, 332, 499]), 7)"
380,000737.jpg,"(array([121, 254, 258, 400]), 13)"
381,000741.jpg,"(array([ 40,  75, 373, 417]), 8)"
382,000743.jpg,"(array([ 24,  88, 346, 464]), 19)"
383,000744.jpg,"(array([166,  18, 374, 358]), 11)"
384,000745.jpg,"(array([ 39,   2, 298, 497]), 11)"
385,000747.jpg,"(array([ 15,  46, 315, 439]), 7)"
386,000749.jpg,"(array([ 99,   0, 374, 466]), 11)"
387,000751.jpg,"(array([ 47,  78, 308, 411]), 12)"
388,000757.jpg,"(array([ 24,  46, 332, 478]), 7)"
389,000758.jpg,"(array([  0,   7, 372, 453]), 20)"
390,000759.jpg,"(array([112, 123, 368, 492]), 12)"
391,000762.jpg,"(array([188,   0, 374, 499]), 11)"
392,000765.jpg,"(array([  0,   0, 373, 445]), 15)"
393,000766.jpg,"(array([  1, 110, 332, 482]), 15)"
394,000769.jpg,"(array([  2,   7, 330, 481]), 15)"
395,000773.jpg,"(array([ 29,   0, 374, 440]), 3)"
396,000775.jpg,"(array([264,  74, 458, 451]), 14)"
397,000778.jpg,"(array([110,  96, 239, 451]), 7)"
398,000779.jpg,"(array([ 84, 188, 269, 305]), 17)"
399,000781.jpg,"(array([ 65, 102, 399, 488]), 15)"
400,000783.jpg,"(array([ 99, 111, 408, 440]), 13)"
401,000784.jpg,"(array([106,  90, 370, 168]), 15)"
402,000785.jpg,"(array([ 39,  28, 316, 499]), 12)"
403,000788.jpg,"(array([ 51,  23, 230, 239]), 16)"
404,000789.jpg,"(array([157, 259, 232, 359]), 17)"
405,000790.jpg,"(array([100, 138, 162, 195]), 20)"
406,000792.jpg,"(array([  4, 162, 466, 282]), 4)"
407,000795.jpg,"(array([271,   0, 332, 499]), 19)"
408,000798.jpg,"(array([104,   0, 332, 499]), 18)"
409,000801.jpg,"(array([138,  54, 220, 242]), 7)"
410,000803.jpg,"(array([ 87, 113, 255, 248]), 8)"
411,000807.jpg,"(array([ 30,  33, 499, 199]), 15)"
412,000809.jpg,"(array([123,  25, 268, 478]), 7)"
413,000811.jpg,"(array([132, 148, 268, 336]), 4)"
414,000813.jpg,"(array([ 54,  57, 372, 389]), 20)"
415,000817.jpg,"(array([130, 226, 148, 290]), 1)"
416,000819.jpg,"(array([ 13,  70, 315, 321]), 15)"
417,000821.jpg,"(array([ 49, 104, 177, 384]), 3)"
418,000824.jpg,"(array([104,  53, 322, 485]), 19)"
419,000825.jpg,"(array([ 46,  40, 293, 458]), 2)"
420,000833.jpg,"(array([  5,  11, 381, 449]), 6)"
421,000835.jpg,"(array([ 90, 301, 245, 411]), 19)"
422,000836.jpg,"(array([161,  92, 441, 225]), 13)"
423,000837.jpg,"(array([ 64, 260, 158, 364]), 4)"
424,000838.jpg,"(array([ 90, 195, 362, 360]), 3)"
425,000839.jpg,"(array([123, 279, 290, 486]), 18)"
426,000840.jpg,"(array([178,   0, 344, 287]), 18)"
427,000841.jpg,"(array([155,   0, 342, 491]), 18)"
428,000844.jpg,"(array([ 68,  69, 290, 393]), 7)"
429,000846.jpg,"(array([176, 122, 207, 164]), 1)"
430,000852.jpg,"(array([ 69, 113, 213, 311]), 3)"
431,000853.jpg,"(array([146,  50, 499, 332]), 12)"
432,000856.jpg,"(array([189,   4, 374, 499]), 11)"
433,000858.jpg,"(array([145, 287, 249, 403]), 6)"
434,000861.jpg,"(array([  0,   0, 188, 314]), 15)"
435,000864.jpg,"(array([ 80,   3, 241, 485]), 6)"
436,000866.jpg,"(array([158, 132, 364, 375]), 13)"
437,000869.jpg,"(array([191, 143, 242, 166]), 15)"
438,000870.jpg,"(array([ 71,   2, 373, 308]), 15)"
439,000873.jpg,"(array([ 39,  89, 499, 334]), 14)"
440,000875.jpg,"(array([170, 277, 201, 303]), 17)"
441,000877.jpg,"(array([106, 165, 282, 304]), 8)"
442,000881.jpg,"(array([155, 244, 255, 431]), 7)"
443,000883.jpg,"(array([ 93,  67, 276, 304]), 7)"
444,000884.jpg,"(array([ 98,   0, 333, 355]), 17)"
445,000886.jpg,"(array([  2,  50, 355, 435]), 15)"
446,000890.jpg,"(array([147, 397, 309, 461]), 16)"
447,000891.jpg,"(array([ 12,  56, 332, 270]), 15)"
448,000893.jpg,"(array([151,  87, 205, 108]), 5)"
449,000894.jpg,"(array([ 87,  85, 411, 264]), 14)"
450,000897.jpg,"(array([123,  71, 321, 266]), 12)"
